,Destination,Industry,Stage,N,HHI,HHI_norm,Eff_N_hhi,CR1,CR3,CR5,Entropy,Entropy_norm,Eff_N_entropy,SelfReliance
177,GR,Nickel ores and concentrates,Primary,23,0.962,0.96,1.04,0.981,0.995,0.998,0.127,0.041,1.136,0.981
178,GR,Other non-ferrous metal ores and concentrates,Primary,35,0.17,0.145,5.887,0.32,0.629,0.771,2.189,0.616,8.924,0.002
179,GR,Precious metal ores and concentrates,Primary,29,0.204,0.175,4.909,0.37,0.656,0.842,1.933,0.574,6.91,0.152
180,HR,Electrical machinery and apparatus n.e.c. (31),Tertiary,36,0.236,0.214,4.238,0.436,0.69,0.816,2.026,0.565,7.581,0.0
181,HR,"Fabricated metal products, except machinery and equipment (28)",Tertiary,49,0.134,0.116,7.47,0.259,0.555,0.714,2.552,0.656,12.83,0.003
182,HR,Machinery and equipment n.e.c. (29),Tertiary,31,0.16,0.132,6.252,0.254,0.657,0.771,2.217,0.646,9.184,0.016
183,HR,Aluminium and aluminium products,Secondary,49,0.404,0.391,2.477,0.626,0.744,0.816,1.738,0.447,5.688,0.006
184,HR,Basic iron and steel and of ferro-alloys and first products thereof,Secondary,49,0.187,0.17,5.351,0.364,0.647,0.742,2.339,0.601,10.374,0.001
185,HR,Copper products,Secondary,49,0.185,0.168,5.399,0.367,0.633,0.763,2.275,0.585,9.729,0.0
186,HR,"Lead, zinc and tin and products thereof",Secondary,49,0.389,0.376,2.57,0.614,0.736,0.797,1.805,0.464,6.08,0.0
187,HR,Other non-ferrous metal products,Secondary,49,0.107,0.088,9.355,0.202,0.498,0.642,2.639,0.678,14.006,0.001
188,HR,Precious metals,Secondary,49,0.097,0.078,10.338,0.219,0.429,0.587,2.721,0.699,15.201,0.0
189,HR,Aluminium ores and concentrates,Primary,19,0.161,0.115,6.196,0.328,0.577,0.72,2.194,0.745,8.968,0.002
190,HR,Copper ores and concentrates,Primary,27,0.958,0.956,1.044,0.978,0.998,0.999,0.129,0.039,1.138,0.0
191,HR,"Lead, zinc and tin ores and concentrates",Primary,31,0.267,0.242,3.748,0.479,0.69,0.806,1.906,0.555,6.729,0.0
192,HR,Nickel ores and concentrates,Primary,23,0.202,0.165,4.96,0.322,0.707,0.857,1.908,0.609,6.741,0.0
193,HR,Other non-ferrous metal ores and concentrates,Primary,35,0.342,0.323,2.921,0.566,0.733,0.814,1.76,0.495,5.811,0.0
194,HR,Precious metal ores and concentrates,Primary,29,0.28,0.255,3.568,0.491,0.712,0.851,1.811,0.538,6.115,0.0
195,HU,Electrical machinery and apparatus n.e.c. (31),Tertiary,36,0.218,0.195,4.595,0.413,0.663,0.812,2.076,0.579,7.97,0.0
196,HU,"Fabricated metal products, except machinery and equipment (28)",Tertiary,49,0.114,0.096,8.758,0.245,0.493,0.656,2.638,0.678,13.984,0.0
197,HU,Machinery and equipment n.e.c. (29),Tertiary,31,0.182,0.154,5.509,0.267,0.683,0.872,1.991,0.58,7.32,0.001
198,HU,Aluminium and aluminium products,Secondary,49,0.313,0.299,3.191,0.533,0.744,0.822,1.893,0.486,6.641,0.0
199,HU,Basic iron and steel and of ferro-alloys and first products thereof,Secondary,49,0.185,0.168,5.415,0.374,0.613,0.732,2.33,0.599,10.279,0.0
200,HU,Copper products,Secondary,49,0.176,0.159,5.689,0.366,0.597,0.701,2.394,0.615,10.954,0.0
